date,close_price_NEIROUSDT,return_NEIROUSDT,signal_NEIROUSDT,position_NEIROUSDT,signal_return_NEIROUSDT,cum_return_NEIROUSDT,cum_signal_return_NEIROUSDT
2024-10-16 00:00:00,0.0019644,-0.012119688,0,0.5,-0.006059844,4.471866295,1.652972823
2024-10-17 00:00:00,0.001869,-0.048564447,0,0.5,-0.024282224,4.206128134,1.588552744
2024-10-18 00:00:00,0.0019589,0.048100589,0,0.5,0.024050294,4.456545961,1.650808199
2024-10-19 00:00:00,0.0018992,-0.030476288,0,0.5,-0.015238144,4.290250696,1.610414803
2024-10-20 00:00:00,0.0019028,0.001895535,0,0.5,0.000947767,4.300278552,1.612888869
2024-10-21 00:00:00,0.0017005,-0.106317007,0,0.5,-0.053158503,3.736768802,1.473991608
2024-10-22 00:00:00,0.0017269,0.015524846,0,0.5,0.007762423,3.810306407,1.493195776
2024-10-23 00:00:00,0.0014763,-0.145115525,0,0.5,-0.072557762,3.112256267,1.31229507
2024-10-24 00:00:00,0.0014525,-0.016121385,0,0.5,-0.008060692,3.045961003,1.293656371
2024-10-25 00:00:00,0.0014438,-0.005989673,0,0.5,-0.002994836,3.021727019,1.286787245
2024-10-26 00:00:00,0.0014519,0.005610195,0,0.5,0.002805098,3.044289694,1.293201906
2024-10-27 00:00:00,0.0016106,0.109305049,0,0.5,0.054652524,3.486350975,1.418531179
2024-10-28 00:00:00,0.0015788,-0.019744195,0,0.5,-0.009872097,3.397771588,1.394655204
2024-10-29 00:00:00,0.0017206,0.089815049,0,0.5,0.044907525,3.79275766,1.502193242
2024-10-30 00:00:00,0.0017443,0.013774265,0,0.5,0.006887132,3.858774373,1.519426178
2024-10-31 00:00:00,0.0016055,-0.079573468,0,0.5,-0.039786734,3.472144847,1.419186439
2024-11-01 00:00:00,0.0014707,-0.083961383,0,0.5,-0.041980691,3.096657382,1.31762732
2024-11-02 00:00:00,0.001417,-0.036513225,0,0.5,-0.018256612,2.947075209,1.275315296
2024-11-03 00:00:00,0.0013367,-0.056669019,0,0.5,-0.02833451,2.723398329,1.210845353
2024-11-04 00:00:00,0.0012662,-0.052741827,0,0.5,-0.026370913,2.527019499,1.152543341
2024-11-05 00:00:00,0.0013502,0.066340231,0,0.5,0.033170115,2.761002786,1.223943452
2024-11-06 00:00:00,0.0020908,0.548511332,0,0.5,0.274255666,4.823955432,1.833872544
2024-11-07 00:00:00,0.002253,0.077577961,0,0.5,0.03878898,5.275766017,1.943795571
2024-11-08 00:00:00,0.0022582,0.002308034,0,0.5,0.001154017,5.290250696,1.94719276
2024-11-09 00:00:00,0.0025991,0.150960942,0,0.5,0.075480471,6.239832869,2.169648259
2024-11-10 00:00:00,0.0027151,0.044630834,0,0.5,0.022315417,6.562952646,2.240380281
2024-11-11 00:00:00,0.0024726,-0.089315311,0,0.5,-0.044657655,5.887465181,2.095672495
2024-11-12 00:00:00,0.0027038,0.093504813,0,0.5,0.046752406,6.531476323,2.240402634
2024-11-13 00:00:00,0.0025105,-0.071491974,0,0.5,-0.035745987,5.993036212,2.124571243
2024-11-14 00:00:00,0.0020669,-0.176697869,0,0.5,-0.088348934,4.757381616,1.848518703
2024-11-15 00:00:00,0.0021874,0.058299869,0,0.5,0.029149935,5.093036212,1.931552837
2024-11-16 00:00:00,0.0020413,-0.066791625,0,0.5,-0.033395812,4.686072423,1.833651248
