date,close_price_TONUSDT,return_TONUSDT,signal_TONUSDT,position_TONUSDT,signal_return_TONUSDT,cum_return_TONUSDT,cum_signal_return_TONUSDT
2024-05-12 00:00:00,6.9508,0.008399948,0,0.5,0.004199974,1.562979351,0.65947822
2024-05-13 00:00:00,7.0106,0.008603326,0,0.5,0.004301663,1.585029499,0.666616737
2024-05-14 00:00:00,6.843,-0.023906656,0,0.5,-0.011953328,1.523230088,0.646695121
2024-05-15 00:00:00,6.9926,0.021861757,0,0.5,0.010930878,1.57839233,0.664694944
2024-05-16 00:00:00,6.7855,-0.029617024,0,0.5,-0.014808512,1.502028024,0.64004329
2024-05-17 00:00:00,6.6291,-0.023049149,0,0.5,-0.011524574,1.444358407,0.621142489
2024-05-18 00:00:00,6.3989,-0.034725679,0,0.5,-0.01736284,1.359476401,0.592994852
2024-05-19 00:00:00,6.2592,-0.021831877,0,0.5,-0.010915939,1.307964602,0.575605817
2024-05-20 00:00:00,6.5523,0.046827071,0,0.5,0.023413535,1.416039823,0.61249632
2024-05-21 00:00:00,6.3212,-0.035270058,0,0.5,-0.017635029,1.330825959,0.584059901
2024-05-22 00:00:00,6.5426,0.035024995,0,0.5,0.017512498,1.412463127,0.611800746
2024-05-23 00:00:00,6.2098,-0.050866628,0,0.5,-0.025433314,1.289749263,0.570807311
2024-05-24 00:00:00,6.3874,0.028599955,0,0.5,0.014299977,1.355235988,0.593269821
2024-05-25 00:00:00,6.3849,-0.000391396,0,0.5,-0.000195698,1.354314159,0.592958021
2024-05-26 00:00:00,6.3174,-0.010571818,0,0.5,-0.005285909,1.329424779,0.58453779
2024-05-27 00:00:00,6.4039,0.013692342,0,0.5,0.006846171,1.361320059,0.595385807
2024-05-28 00:00:00,6.4718,0.010602914,0,0.5,0.005301457,1.386356932,0.603843676
2024-05-29 00:00:00,6.5064,0.005346272,0,0.5,0.002673136,1.399115044,0.608130968
2024-05-30 00:00:00,6.4661,-0.006193901,0,0.5,-0.003096951,1.384255162,0.603150665
2024-05-31 00:00:00,6.3384,-0.019749153,0,0.5,-0.009874577,1.337168142,0.587320231
2024-06-01 00:00:00,6.2941,-0.006989146,0,0.5,-0.003494573,1.320833333,0.581773225
2024-06-02 00:00:00,6.8336,0.085715194,0,0.5,0.042857597,1.519764012,0.649564224
2024-06-03 00:00:00,6.8174,-0.002370639,0,0.5,-0.00118532,1.51379056,0.647608964
2024-06-04 00:00:00,7.3322,0.075512659,0,0.5,0.037756329,1.703613569,0.70981663
2024-06-05 00:00:00,7.2088,-0.016829874,0,0.5,-0.008414937,1.658112094,0.695428631
2024-06-06 00:00:00,7.5471,0.046928754,0,0.5,0.023464377,1.782853982,0.735210808
2024-06-07 00:00:00,7.209,-0.044798664,0,0.5,-0.022399332,1.658185841,0.696343244
2024-06-08 00:00:00,6.9884,-0.030600638,0,0.5,-0.015300319,1.576843658,0.670388652
