date,close_price_1000SHIBUSDT,return_1000SHIBUSDT,signal_1000SHIBUSDT,position_1000SHIBUSDT,signal_return_1000SHIBUSDT,cum_return_1000SHIBUSDT,cum_signal_return_1000SHIBUSDT
2021-06-29 00:00:00,0.008878,0.099851338,0,0.5,0.049925669,-0.745170642,-0.424715203
2021-06-30 00:00:00,0.008825,-0.005969813,0,0.5,-0.002984907,-0.746691926,-0.426432374
2021-07-01 00:00:00,0.008324,-0.056770538,0,0.5,-0.028385269,-0.761072361,-0.442713246
2021-07-02 00:00:00,0.008354,0.003604037,0,0.5,0.001802018,-0.760211257,-0.441709005
2021-07-03 00:00:00,0.008658,0.036389753,0,0.5,0.018194877,-0.751485404,-0.431550969
2021-07-04 00:00:00,0.008724,0.007623008,0,0.5,0.003811504,-0.749590976,-0.429384323
2021-07-05 00:00:00,0.008325,-0.045735901,0,0.5,-0.02286795,-0.761043658,-0.442433134
2021-07-06 00:00:00,0.008751,0.051171171,0,0.5,0.025585586,-0.748815982,-0.428167459
2021-07-07 00:00:00,0.008553,-0.022625986,0,0.5,-0.011312993,-0.754499268,-0.434636597
2021-07-08 00:00:00,0.008018,-0.062551152,0,0.5,-0.031275576,-0.769855622,-0.452318663
2021-07-09 00:00:00,0.007906,-0.013968571,0,0.5,-0.006984285,-0.77307041,-0.456143826
2021-07-10 00:00:00,0.007656,-0.031621553,0,0.5,-0.015810777,-0.780246276,-0.464742614
2021-07-11 00:00:00,0.007862,0.026907001,0,0.5,0.013453501,-0.774333362,-0.457541529
2021-07-12 00:00:00,0.007552,-0.03943017,0,0.5,-0.019715085,-0.783231436,-0.468236144
2021-07-13 00:00:00,0.007113,-0.058130297,0,0.5,-0.029065148,-0.795832257,-0.483691939
2021-07-14 00:00:00,0.007224,0.01560523,0,0.5,0.007802615,-0.792646172,-0.479663386
2021-07-15 00:00:00,0.006907,-0.043881506,0,0.5,-0.021940753,-0.801745171,-0.491079963
2021-07-16 00:00:00,0.006619,-0.041696829,0,0.5,-0.020848415,-0.810011768,-0.501690139
2021-07-17 00:00:00,0.006806,0.028252002,0,0.5,0.014126001,-0.804644221,-0.494651013
2021-07-18 00:00:00,0.006648,-0.02321481,0,0.5,-0.011607405,-0.809179368,-0.500516804
2021-07-19 00:00:00,0.006188,-0.069193742,0,0.5,-0.034596871,-0.822382962,-0.51779736
2021-07-20 00:00:00,0.005882,-0.049450549,0,0.5,-0.024725275,-0.831166222,-0.529719952
2021-07-21 00:00:00,0.006541,0.112036722,0,0.5,0.056018361,-0.812250639,-0.503375635
2021-07-22 00:00:00,0.006462,-0.012077664,0,0.5,-0.006038832,-0.814518212,-0.506374666
2021-07-23 00:00:00,0.00648,0.002785515,0,0.5,0.001392758,-0.81400155,-0.505687166
2021-07-24 00:00:00,0.006441,-0.006018519,0,0.5,-0.003009259,-0.815120985,-0.507174681
2021-07-25 00:00:00,0.006365,-0.01179941,0,0.5,-0.005899705,-0.817302448,-0.510082205
2021-07-26 00:00:00,0.006302,-0.009897879,0,0.5,-0.00494894,-0.819110767,-0.512506779
2021-07-27 00:00:00,0.006316,0.002221517,0,0.5,0.001110758,-0.818708918,-0.511965291
2021-07-28 00:00:00,0.006185,-0.020740975,0,0.5,-0.010370488,-0.822469072,-0.517026449
2021-07-29 00:00:00,0.006305,0.019401778,0,0.5,0.009700889,-0.819024656,-0.512341176
2021-07-30 00:00:00,0.006292,-0.002061856,0,0.5,-0.001030928,-0.819397801,-0.512843917
2021-07-31 00:00:00,0.00625,-0.006675143,0,0.5,-0.003337572,-0.820603347,-0.514469836
2021-08-01 00:00:00,0.006307,0.00912,0,0.5,0.00456,-0.818967249,-0.512255818
2021-08-02 00:00:00,0.00635,0.006817821,0,0.5,0.003408911,-0.817733,-0.510593142
2021-08-03 00:00:00,0.00619,-0.02519685,0,0.5,-0.012598425,-0.822325555,-0.516758897
2021-08-04 00:00:00,0.006242,0.008400646,0,0.5,0.004200323,-0.820832975,-0.514729129
2021-08-05 00:00:00,0.006224,-0.002883691,0,0.5,-0.001441846,-0.821349637,-0.515428814
2021-08-06 00:00:00,0.006311,0.013978149,0,0.5,0.006989075,-0.818852435,-0.51204211
2021-08-07 00:00:00,0.007798,0.235620345,0,0.5,0.117810173,-0.776170384,-0.454555707
2021-08-08 00:00:00,0.007295,-0.064503719,0,0.5,-0.032251859,-0.790608226,-0.4721473
2021-08-09 00:00:00,0.007626,0.045373544,0,0.5,0.022686772,-0.78110738,-0.460172026
2021-08-10 00:00:00,0.007578,-0.006294256,0,0.5,-0.003147128,-0.782485146,-0.461870934
2021-08-11 00:00:00,0.007783,0.027051993,0,0.5,0.013525996,-0.776600936,-0.454592202
2021-08-12 00:00:00,0.007657,-0.01618913,0,0.5,-0.008094565,-0.780217572,-0.459007041
2021-08-13 00:00:00,0.008135,0.062426538,0,0.5,0.031213269,-0.766497316,-0.442120882
2021-08-14 00:00:00,0.008141,0.000737554,0,0.5,0.000368777,-0.766325095,-0.441915149
2021-08-15 00:00:00,0.008561,0.051590714,0,0.5,0.025795357,-0.75426964,-0.427519151
2021-08-16 00:00:00,0.009042,0.056185025,0,0.5,0.028092513,-0.740463274,-0.411436726
2021-08-17 00:00:00,0.008059,-0.108714886,0,0.5,-0.054357443,-0.76867878,-0.443429521
2021-08-18 00:00:00,0.008022,-0.00459114,0,0.5,-0.00229557,-0.769740808,-0.444707167
2021-08-19 00:00:00,0.008368,0.043131389,0,0.5,0.021565694,-0.759809409,-0.432731892
2021-08-20 00:00:00,0.008496,0.015296367,0,0.5,0.007648184,-0.756135366,-0.428393321
2021-08-21 00:00:00,0.008136,-0.042372881,0,0.5,-0.021186441,-0.766468613,-0.440503632
2021-08-22 00:00:00,0.008213,0.00946411,0,0.5,0.004732055,-0.764258446,-0.437856064
2021-08-23 00:00:00,0.008187,-0.003165713,0,0.5,-0.001582856,-0.765004736,-0.438745858
2021-08-24 00:00:00,0.007486,-0.08562355,0,0.5,-0.042811775,-0.785125865,-0.462774144
2021-08-25 00:00:00,0.007527,0.00547689,0,0.5,0.002738445,-0.783949023,-0.46130298
2021-08-26 00:00:00,0.00697,-0.074000266,0,0.5,-0.037000133,-0.799936852,-0.481234841
2021-08-27 00:00:00,0.007478,0.072883788,0,0.5,0.036441894,-0.785355492,-0.462330057
2021-08-28 00:00:00,0.007238,-0.032094143,0,0.5,-0.016047071,-0.792244324,-0.470958084
2021-08-29 00:00:00,0.00712,-0.016302846,0,0.5,-0.008151423,-0.795631333,-0.475270529
2021-08-30 00:00:00,0.006669,-0.063342697,0,0.5,-0.031671348,-0.808576595,-0.491889419
2021-08-31 00:00:00,0.006863,0.029089819,0,0.5,0.014544909,-0.803008123,-0.484498996
2021-09-01 00:00:00,0.007195,0.048375346,0,0.5,0.024187673,-0.793478573,-0.472030227
2021-09-02 00:00:00,0.007093,-0.014176511,0,0.5,-0.007088256,-0.796406326,-0.475772612
2021-09-03 00:00:00,0.007074,-0.002678697,0,0.5,-0.001339349,-0.796951692,-0.476474735
2021-09-04 00:00:00,0.007446,0.052586938,0,0.5,0.026293469,-0.786274003,-0.462709439
2021-09-05 00:00:00,0.007547,0.01356433,0,0.5,0.006782165,-0.783374953,-0.459065446
2021-09-06 00:00:00,0.007239,-0.040810918,0,0.5,-0.020405459,-0.79221562,-0.470103464
2021-09-07 00:00:00,0.006051,-0.164111065,-1,0,-0.082055533,-0.826315336,-0.513584407
2021-09-08 00:00:00,0.006678,0.103619236,-1,0,0,-0.808318264,-0.513584407
2021-09-09 00:00:00,0.007309,0.094489368,-1,0,0,-0.790206378,-0.513584407
2021-09-10 00:00:00,0.006996,-0.042823916,-1,0,0,-0.799190562,-0.513584407
2021-09-11 00:00:00,0.006781,-0.030731847,-1,0,0,-0.805361807,-0.513584407
2021-09-12 00:00:00,0.006895,0.01681168,-1,0,0,-0.802089612,-0.513584407
2021-09-13 00:00:00,0.006492,-0.058448151,-1,0,0,-0.813657108,-0.513584407
2021-09-14 00:00:00,0.00667,0.027418361,-1,0,0,-0.808547892,-0.513584407
2021-09-15 00:00:00,0.006768,0.014692654,-1,0,0,-0.805734952,-0.513584407
2021-09-16 00:00:00,0.00854,0.261820331,0,0.5,0,-0.754872413,-0.513584407
2021-09-17 00:00:00,0.00845,-0.010538642,0,0.5,-0.005269321,-0.757455725,-0.516147486
2021-09-18 00:00:00,0.007838,-0.072426036,-1,0,-0.036213018,-0.775022245,-0.533669246
2021-09-19 00:00:00,0.00809,0.032151059,-1,0,0,-0.767788972,-0.533669246
