date,close_price_SUIUSDT,return_SUIUSDT,signal_SUIUSDT,position_SUIUSDT,signal_return_SUIUSDT,cum_return_SUIUSDT,cum_signal_return_SUIUSDT
2023-07-02 00:00:00,0.6907,0.002904022,0,0.5,0.001452011,-0.504234855,-0.279884862
2023-07-03 00:00:00,0.6997,0.013030259,0,0.5,0.00651513,-0.497774907,-0.275193219
2023-07-04 00:00:00,0.6851,-0.020866085,0,0.5,-0.010433043,-0.508254378,-0.282755159
2023-07-05 00:00:00,0.6618,-0.034009634,0,0.5,-0.017004817,-0.524978467,-0.294951776
2023-07-06 00:00:00,0.6484,-0.020247809,0,0.5,-0.010123905,-0.534596612,-0.302089617
2023-07-07 00:00:00,0.6608,0.019123998,0,0.5,0.009561999,-0.525696239,-0.295416199
2023-07-08 00:00:00,0.6523,-0.012863196,0,0.5,-0.006431598,-0.531797301,-0.299947799
2023-07-09 00:00:00,0.6586,0.009658133,0,0.5,0.004829066,-0.527275337,-0.2965672
2023-07-10 00:00:00,0.6547,-0.005921652,0,0.5,-0.002960826,-0.530074648,-0.298649942
2023-07-11 00:00:00,0.6551,0.000610967,0,0.5,0.000305483,-0.529787539,-0.298435691
2023-07-12 00:00:00,0.6551,0,0,0.5,0,-0.529787539,-0.298435691
2023-07-13 00:00:00,0.6984,0.066096779,0,0.5,0.03304839,-0.49870801,-0.275250121
2023-07-14 00:00:00,0.6799,-0.026489118,0,0.5,-0.013244559,-0.511986793,-0.284849113
2023-07-15 00:00:00,0.6826,0.003971172,0,0.5,0.001985586,-0.510048808,-0.28342912
2023-07-16 00:00:00,0.6718,-0.015821858,0,0.5,-0.007910929,-0.517800746,-0.289097861
2023-07-17 00:00:00,0.7195,0.071003275,0,0.5,0.035501637,-0.48356302,-0.263859671
2023-07-18 00:00:00,0.7361,0.023071577,0,0.5,0.011535789,-0.471648005,-0.255367712
2023-07-19 00:00:00,0.7093,-0.036408097,0,0.5,-0.018204048,-0.490884295,-0.268923034
2023-07-20 00:00:00,0.6882,-0.029747639,0,0.5,-0.014873819,-0.506029285,-0.279796941
2023-07-21 00:00:00,0.6832,-0.00726533,0,0.5,-0.003632665,-0.509618145,-0.282413197
2023-07-22 00:00:00,0.6931,0.014490632,0,0.5,0.007245316,-0.502512202,-0.277214054
2023-07-23 00:00:00,0.6786,-0.020920502,0,0.5,-0.010460251,-0.512919897,-0.284774576
2023-07-24 00:00:00,0.6363,-0.062334218,0,0.5,-0.031167109,-0.543281654,-0.307066085
2023-07-25 00:00:00,0.6362,-0.000157159,0,0.5,-7.85793E-05,-0.543353431,-0.307120535
2023-07-26 00:00:00,0.634,-0.003458032,0,0.5,-0.001729016,-0.544932529,-0.308318535
2023-07-27 00:00:00,0.6299,-0.006466877,0,0.5,-0.003233438,-0.547875395,-0.310555044
2023-07-28 00:00:00,0.6294,-0.000793777,0,0.5,-0.000396888,-0.548234281,-0.310828677
2023-07-29 00:00:00,0.6383,0.014140451,0,0.5,0.007070226,-0.54184611,-0.30595608
2023-07-30 00:00:00,0.6196,-0.029296569,0,0.5,-0.014648285,-0.555268447,-0.316122633
2023-07-31 00:00:00,0.6317,0.019528728,0,0.5,0.009764364,-0.546583405,-0.309445005
2023-08-01 00:00:00,0.6465,0.023428843,0,0.5,0.011714421,-0.535960379,-0.301355553
2023-08-02 00:00:00,0.6136,-0.050889404,0,0.5,-0.025444702,-0.559575079,-0.319132353
2023-08-03 00:00:00,0.5922,-0.034876141,0,0.5,-0.01743807,-0.574935401,-0.331005371
2023-08-04 00:00:00,0.5919,-0.000506586,0,0.5,-0.000253293,-0.575150732,-0.331174822
2023-08-05 00:00:00,0.5916,-0.000506842,0,0.5,-0.000253421,-0.575366064,-0.331344317
2023-08-06 00:00:00,0.592,0.000676133,0,0.5,0.000338066,-0.575078955,-0.331118267
2023-08-07 00:00:00,0.5829,-0.015371622,0,0.5,-0.007685811,-0.58161068,-0.336259165
2023-08-08 00:00:00,0.5939,0.018871161,0,0.5,0.009435581,-0.573715188,-0.329996385
2023-08-09 00:00:00,0.5948,0.001515407,0,0.5,0.000757703,-0.573069193,-0.329488721
2023-08-10 00:00:00,0.605,0.017148621,0,0.5,0.008574311,-0.565747918,-0.323739549
2023-08-11 00:00:00,0.6047,-0.000495868,0,0.5,-0.000247934,-0.56596325,-0.323907217
2023-08-12 00:00:00,0.6074,0.004465024,0,0.5,0.002232512,-0.564025266,-0.322397832
2023-08-13 00:00:00,0.598,-0.015475798,0,0.5,-0.007737899,-0.570772323,-0.327641049
2023-08-14 00:00:00,0.5992,0.002006689,0,0.5,0.001003344,-0.569910996,-0.326966442
2023-08-15 00:00:00,0.5603,-0.064919893,0,0.5,-0.032459947,-0.597832328,-0.348813075
2023-08-16 00:00:00,0.5268,-0.059789399,0,0.5,-0.029894699,-0.621877692,-0.368280112
2023-08-17 00:00:00,0.4746,-0.099088838,0,0.5,-0.049544419,-0.659345392,-0.399578307
2023-08-18 00:00:00,0.4835,0.018752634,0,0.5,0.009376317,-0.652957221,-0.393948563
2023-08-19 00:00:00,0.5588,0.1557394,0,0.5,0.0778697,-0.598908987,-0.346755519
2023-08-20 00:00:00,0.5433,-0.02773801,0,0.5,-0.013869005,-0.610034453,-0.35581537
2023-08-21 00:00:00,0.5137,-0.05448187,0,0.5,-0.027240935,-0.631280505,-0.373363562
2023-08-22 00:00:00,0.5356,0.042631886,0,0.5,0.021315943,-0.615561298,-0.360006215
2023-08-23 00:00:00,0.6015,0.123039582,0,0.5,0.061519791,-0.568260121,-0.320633931
2023-08-24 00:00:00,0.5725,-0.048212801,0,0.5,-0.024106401,-0.58907551,-0.337011002
2023-08-25 00:00:00,0.5566,-0.027772926,0,0.5,-0.013886463,-0.600488085,-0.346217574
2023-08-26 00:00:00,0.5875,0.055515631,0,0.5,0.027757815,-0.578308929,-0.328070002
2023-08-27 00:00:00,0.583,-0.007659574,0,0.5,-0.003829787,-0.581538903,-0.330643351
2023-08-28 00:00:00,0.5469,-0.061921098,0,0.5,-0.030960549,-0.607450474,-0.351367001
2023-08-29 00:00:00,0.5447,-0.004022673,0,0.5,-0.002011337,-0.609029572,-0.35267162
2023-08-30 00:00:00,0.525,-0.036166697,0,0.5,-0.018083349,-0.623169681,-0.364377485
2023-08-31 00:00:00,0.5,-0.047619048,-1,0,-0.023809524,-0.641113982,-0.379511354
2023-09-01 00:00:00,0.4886,-0.0228,-1,0,0,-0.649296583,-0.379511354
2023-09-02 00:00:00,0.4905,0.003888661,-1,0,0,-0.647932817,-0.379511354
2023-09-03 00:00:00,0.4837,-0.013863405,-1,0,0,-0.652813666,-0.379511354
2023-09-04 00:00:00,0.4831,-0.001240438,-1,0,0,-0.65324433,-0.379511354
2023-09-05 00:00:00,0.4905,0.01531774,-1,0,0,-0.647932817,-0.379511354
2023-09-06 00:00:00,0.4815,-0.018348624,-1,0,0,-0.654392765,-0.379511354
2023-09-07 00:00:00,0.4855,0.008307373,-1,0,0,-0.651521677,-0.379511354
2023-09-08 00:00:00,0.4812,-0.008856849,-1,0,0,-0.654608096,-0.379511354
2023-09-09 00:00:00,0.4811,-0.000207814,-1,0,0,-0.654679874,-0.379511354
2023-09-10 00:00:00,0.4546,-0.055082104,-1,0,0,-0.673700833,-0.379511354
2023-09-11 00:00:00,0.4262,-0.062472503,-1,0,0,-0.694085558,-0.379511354
2023-09-12 00:00:00,0.4273,0.002580948,-1,0,0,-0.693296009,-0.379511354
2023-09-13 00:00:00,0.4423,0.035104142,-1,0,0,-0.682529429,-0.379511354
2023-09-14 00:00:00,0.4447,0.005426181,-1,0,0,-0.680806776,-0.379511354
2023-09-15 00:00:00,0.446,0.002923319,-1,0,0,-0.679873672,-0.379511354
2023-09-16 00:00:00,0.4662,0.04529148,-1,0,0,-0.665374677,-0.379511354
2023-09-17 00:00:00,0.4343,-0.068425568,-1,0,0,-0.688271605,-0.379511354
2023-09-18 00:00:00,0.4475,0.030393737,-1,0,0,-0.678797014,-0.379511354
2023-09-19 00:00:00,0.4539,0.014301676,-1,0,0,-0.674203273,-0.379511354
