date,close_price_DOGEUSDT,return_DOGEUSDT,signal_DOGEUSDT,position_DOGEUSDT,signal_return_DOGEUSDT,cum_return_DOGEUSDT,cum_signal_return_DOGEUSDT
2021-11-24 00:00:00,0.21722,-0.042661966,0,0.5,-0.021330983,60.44837341,57.81655168
2021-11-25 00:00:00,0.22145,0.019473345,0,0.5,0.009736672,61.64497878,58.38922918
2021-11-26 00:00:00,0.20192,-0.088191465,-1,0,-0.044095733,56.12022631,55.77041761
2021-11-27 00:00:00,0.20496,0.015055468,-1,0,0,56.98019802,55.77041761
2021-11-28 00:00:00,0.20727,0.011270492,-1,0,0,57.63366337,55.77041761
2021-11-29 00:00:00,0.21504,0.037487335,0,0.5,0,59.83168317,55.77041761
2021-11-30 00:00:00,0.21467,-0.00172061,0,0.5,-0.000860305,59.72701556,55.72157773
2021-12-01 00:00:00,0.20929,-0.025061723,0,0.5,-0.012530861,58.20509194,55.0108075
2021-12-02 00:00:00,0.20966,0.001767882,0,0.5,0.000883941,58.30975955,55.06031775
2021-12-03 00:00:00,0.19985,-0.046790041,-1,0,-0.023395021,55.53465347,53.74878547
2021-12-04 00:00:00,0.17816,-0.108531399,-1,0,0,49.39886846,53.74878547
2021-12-05 00:00:00,0.17123,-0.03889762,-1,0,0,47.43847242,53.74878547
2021-12-06 00:00:00,0.17745,0.03632541,-1,0,0,49.1980198,53.74878547
2021-12-07 00:00:00,0.17622,-0.00693153,-1,0,0,48.85007072,53.74878547
2021-12-08 00:00:00,0.17905,0.016059471,-1,0,0,49.65063649,53.74878547
2021-12-09 00:00:00,0.16886,-0.056911477,-1,0,0,46.76803395,53.74878547
2021-12-10 00:00:00,0.16394,-0.029136563,-1,0,0,45.37623762,53.74878547
2021-12-11 00:00:00,0.16886,0.03001098,-1,0,0,46.76803395,53.74878547
2021-12-12 00:00:00,0.16954,0.004027005,-1,0,0,46.96039604,53.74878547
2021-12-13 00:00:00,0.1572,-0.072785183,-1,0,0,43.46958982,53.74878547
2021-12-14 00:00:00,0.19075,0.213422392,-1,0,0,52.96039604,53.74878547
2021-12-15 00:00:00,0.18092,-0.051533421,-1,0,0,50.17963225,53.74878547
2021-12-16 00:00:00,0.17309,-0.043278797,-1,0,0,47.96463932,53.74878547
2021-12-17 00:00:00,0.1684,-0.027095731,-1,0,0,46.63790665,53.74878547
2021-12-18 00:00:00,0.17227,0.022980998,-1,0,0,47.73267327,53.74878547
2021-12-19 00:00:00,0.16935,-0.016950136,-1,0,0,46.90664781,53.74878547
2021-12-20 00:00:00,0.16714,-0.013049897,-1,0,0,46.281471,53.74878547
2021-12-21 00:00:00,0.17073,0.021479,-1,0,0,47.2970297,53.74878547
2021-12-22 00:00:00,0.17297,0.013120131,-1,0,0,47.93069307,53.74878547
2021-12-23 00:00:00,0.18504,0.069780887,-1,0,0,51.34512023,53.74878547
2021-12-24 00:00:00,0.18623,0.006431042,-1,0,0,51.68175389,53.74878547
2021-12-25 00:00:00,0.19081,0.024593245,-1,0,0,52.97736917,53.74878547
2021-12-26 00:00:00,0.18976,-0.005502856,-1,0,0,52.68033946,53.74878547
2021-12-27 00:00:00,0.18785,-0.010065346,-1,0,0,52.14002829,53.74878547
2021-12-28 00:00:00,0.17373,-0.075166356,-1,0,0,48.145686,53.74878547
