date,close_price_SOLUSDT,return_SOLUSDT,signal_SOLUSDT,position_SOLUSDT,signal_return_SOLUSDT,cum_return_SOLUSDT,cum_signal_return_SOLUSDT
2023-08-09 00:00:00,24.375,0.007023342,1,1,0.007023342,6.463029301,70.36444969
2023-08-10 00:00:00,24.614,0.009805128,1,1,0.009805128,6.53620526,71.06418727
2023-08-11 00:00:00,24.613,-4.06273E-05,1,1,-4.06273E-05,6.535899085,71.0612595
2023-08-12 00:00:00,24.902,0.011741762,0,0.5,0.011741762,6.624383822,71.90738569
2023-08-13 00:00:00,24.216,-0.027547988,0,0.5,-0.013773994,6.414347387,70.90315979
2023-08-14 00:00:00,25.175,0.039601916,-1,0,0.019800958,6.70796975,72.32691124
2023-08-15 00:00:00,23.889,-0.051082423,-1,0,0,6.314227978,72.32691124
2023-08-16 00:00:00,22.811,-0.045125372,-1,0,0,5.984170723,72.32691124
2023-08-17 00:00:00,21.661,-0.050414274,-1,0,0,5.632068828,72.32691124
2023-08-18 00:00:00,21.336,-0.015003924,-1,0,0,5.532561771,72.32691124
2023-08-19 00:00:00,21.88,0.025496813,0,0.5,0,5.699121276,72.32691124
2023-08-20 00:00:00,21.76,-0.005484461,-1,0,-0.00274223,5.662380209,72.12583196
2023-08-21 00:00:00,21.187,-0.026332721,-1,0,0,5.486941612,72.12583196
2023-08-22 00:00:00,20.572,-0.029027234,-1,0,0,5.298643642,72.12583196
2023-08-23 00:00:00,21.717,0.055658176,-1,0,0,5.64921466,72.12583196
2023-08-24 00:00:00,21.039,-0.031219782,-1,0,0,5.441627629,72.12583196
2023-08-25 00:00:00,20.409,-0.029944389,-1,0,0,5.248737026,72.12583196
2023-08-26 00:00:00,20.272,-0.006712725,-1,0,0,5.206790974,72.12583196
2023-08-27 00:00:00,20.779,0.025009866,-1,0,0,5.362021983,72.12583196
2023-08-28 00:00:00,20.549,-0.011068868,-1,0,0,5.291601604,72.12583196
2023-08-29 00:00:00,21.772,0.059516278,-1,0,0,5.666054316,72.12583196
2023-08-30 00:00:00,20.807,-0.044322984,-1,0,0,5.370594899,72.12583196
2023-08-31 00:00:00,19.72,-0.052242034,-1,0,0,5.037782064,72.12583196
2023-09-01 00:00:00,19.315,-0.020537525,-1,0,0,4.913780962,72.12583196
2023-09-02 00:00:00,19.48,0.008542583,-1,0,0,4.96429993,72.12583196
2023-09-03 00:00:00,19.555,0.003850103,-1,0,0,4.987263097,72.12583196
2023-09-04 00:00:00,19.514,-0.00209665,-1,0,0,4.974709899,72.12583196
2023-09-05 00:00:00,20.257,0.038075228,-1,0,0,5.202198341,72.12583196
2023-09-06 00:00:00,19.62,-0.03144592,-1,0,0,5.007164508,72.12583196
2023-09-07 00:00:00,19.9,0.014271152,-1,0,0,5.092893665,72.12583196
2023-09-08 00:00:00,19.596,-0.015276382,-1,0,0,4.999816295,72.12583196
2023-09-09 00:00:00,19.425,-0.008726271,-1,0,0,4.947460274,72.12583196
2023-09-10 00:00:00,18.219,-0.062084942,-1,0,0,4.578212547,72.12583196
2023-09-11 00:00:00,17.715,-0.027663428,-1,0,0,4.423900064,72.12583196
2023-09-12 00:00:00,17.904,0.010668925,-1,0,0,4.481767245,72.12583196
2023-09-13 00:00:00,18.389,0.027088919,-1,0,0,4.630262392,72.12583196
