date,close_price_BTCUSDT,close_price_ETHUSDT,close_price_SOLUSDT,return_BTCUSDT,return_ETHUSDT,return_SOLUSDT,signal_BTCUSDT,signal_ETHUSDT,signal_SOLUSDT,position_BTCUSDT,position_ETHUSDT,position_SOLUSDT,signal_return_BTCUSDT,signal_return_ETHUSDT,signal_return_SOLUSDT,signal_basket_return,cum_signal_basket_return
1/27/2024,42102.2,2266.99,94.238,0.007075472,0.000119115,0.021428339,0,0,0,0,0,0,0,0,0,0,3.274616
1/28/2024,42021.2,2256,95.948,-0.00192389,-0.004847838,0.018145546,0,0,0,0,0,0,0,0,0,0,3.274616
1/29/2024,43287.7,2316.52,101.623,0.030139549,0.026826241,0.059146621,1,1,0,0.178978891,0.161635056,0,0,0,0,0,3.274616
1/30/2024,42918.3,2341.95,101.371,-0.008533602,0.010977673,-0.002479754,1,1,0,0.178663643,0.161447094,0,-0.001527335,0.001774377,0,0.000247,3.275672
1/31/2024,42560.5,2282,96.912,-0.00833677,-0.025598326,-0.043986939,0,0,0,0,0,0,-0.001489478,-0.004132775,0,-0.005622,3.251634
2/1/2024,43072.6,2303.33,97.775,0.012032283,0.009347064,0.008904986,0,0,0,0,0,0,0,0,0,0,3.251634
2/2/2024,43182,2307.99,100.559,0.002539898,0.002023158,0.028473536,1,1,1,0.131108055,0.115761738,0.076050348,0,0,0,0,3.251634
2/3/2024,42992.4,2295.42,97.915,-0.004390718,-0.005446297,-0.026293022,0,1,0,0,0.351044373,0,-0.000575659,-0.000630473,-0.001999593,-0.003206,3.238004
2/4/2024,42570.3,2288.66,95.451,-0.009818014,-0.002944995,-0.025164684,0,1,0,0,0.350951208,0,0,-0.001033824,0,-0.001034,3.233622
2/5/2024,42692.9,2300.83,95.605,0.002879942,0.005317522,0.001613393,0,1,1,0,0.17604416,0.12355483,0,0.001866191,0,0.001866,3.241522
2/6/2024,43079.1,2371.74,96.856,0.009046001,0.030819313,0.01308509,0,1,1,0,0.173626932,0.126396338,0,0.00542556,0.001616726,0.007042,3.27139
2/7/2024,44326.2,2424.22,101.135,0.028949073,0.022127215,0.044178987,0,1,1,0,0.180080557,0.13601992,0,0.00384188,0.005584062,0.009426,3.311652
2/8/2024,45269.1,2418.76,102.742,0.021271844,-0.002252271,0.015889652,0,1,1,0,0.180089854,0.135972062,0,-0.00040559,0.002161309,0.001756,3.319224
2/9/2024,47116.1,2485.24,106.921,0.040800458,0.027485158,0.0406747,1,0,1,0.213352976,0,0.134644102,0,0.004949798,0.005530623,0.01048,3.364489
2/10/2024,47732.6,2499.2,108.976,0.013084699,0.005617164,0.019219798,1,0,1,0.21283849,0,0.135116296,0.00279166,0,0.002587832,0.005379,3.387966
2/11/2024,48303.4,2506.1,107.471,0.011958284,0.002760883,-0.01381038,1,0,1,0.264844744,0,0.146427595,0.002545183,0,-0.001866007,0.000679,3.390945
2/12/2024,49943.6,2660.91,111.737,0.033956202,0.061773273,0.039694429,1,1,1,0.170363922,0.146052268,0.097642795,0.008993122,0,0.00581236,0.014805,3.455953
2/13/2024,49696.4,2640.83,112.539,-0.004949583,-0.007546291,0.007177569,1,1,1,0.176933454,0.154169186,0.098628166,-0.00084323,-0.001102153,0.000700838,-0.001245,3.450405
2/14/2024,51823.2,2776.14,117.092,0.042795856,0.051237679,0.040457086,1,1,1,0.168398985,0.143992293,0.097168655,0.007572019,0.007899271,0.003990208,0.019461,3.537015
2/15/2024,51898.5,2824.54,113.598,0.001453017,0.017434279,-0.029839784,1,1,1,0.16864447,0.146182943,0.096451142,0.000244687,0.002510402,-0.002899492,-0.000144,3.536361
2/16/2024,52148.6,2803.69,110.392,0.004819022,-0.007381733,-0.028222328,1,1,1,0.170111765,0.148573144,0.097327881,0.000812701,-0.001079083,-0.002722076,-0.002988,3.522807
2/17/2024,51679.4,2787.43,109.008,-0.008997365,-0.0057995,-0.01253714,1,1,1,0.181203077,0.151719054,0.106534555,-0.001530558,-0.00086165,-0.001220213,-0.003612,3.50647
2/18/2024,52175.9,2883.58,112.345,0.00960731,0.03449414,0.030612432,1,1,1,0.181174218,0.147580911,0.105856517,0.001740874,0.005233418,0.003261282,0.010236,3.552599
2/19/2024,51813.8,2946.55,111.658,-0.006939986,0.021837438,-0.006115092,1,1,1,0.179811832,0.147246861,0.105916163,-0.001257346,0.003222789,-0.000647322,0.001318,3.558599
2/20/2024,52297.4,3017.21,108.418,0.009333421,0.023980587,-0.029017177,1,1,1,0.180673874,0.14663303,0.104929148,0.001678259,0.003531066,-0.003073388,0.002136,3.568336
2/21/2024,51877.8,2969.65,105.113,-0.008023343,-0.015762907,-0.030483868,1,1,1,0.2121,0.167175997,0.116498424,-0.001449609,-0.002311363,-0.003198646,-0.00696,3.536541
2/22/2024,51316.9,2972.8,101.805,-0.010811947,0.001060731,-0.031470893,1,1,1,0.207052523,0.17868225,0.113270793,-0.002293214,0.000177329,-0.003666309,-0.005782,3.51031
2/23/2024,50771.9,2923.35,99.973,-0.010620283,-0.01663415,-0.017995187,1,1,1,0.202841246,0.174619317,0.116796799,-0.002198956,-0.002972227,-0.002038329,-0.00721,3.477791
2/24/2024,51602.1,2994.39,104.114,0.016351565,0.024300888,0.041421184,1,1,1,0.203660323,0.17523385,0.115470367,0.003316772,0.004243404,0.004837862,0.012398,3.533307
2/25/2024,51764.9,3115.24,103.569,0.00315491,0.040358804,-0.005234647,1,1,1,0.223605883,0.169725976,0.122831876,0.00064253,0.007072229,-0.000604447,0.00711,3.565538
2/26/2024,54511.6,3178.6,110.034,0.053061051,0.020338722,0.062422153,1,1,1,0.197103655,0.169996561,0.115571551,0.011864763,0.003452009,0.00766743,0.022984,3.670473
2/27/2024,57074.5,3244.98,108.45,0.047015681,0.020883408,-0.01439555,1,1,1,0.184662837,0.171425238,0.115119266,0.009266963,0.003550108,-0.001663716,0.011153,3.722563
2/28/2024,62487.9,3387.07,119.425,0.094847962,0.043787635,0.101198709,1,1,1,0.144319635,0.166197159,0.103524559,0.017514894,0.007506306,0.011649921,0.036671,3.895744
2/29/2024,61203.3,3343.15,125.769,-0.02055758,-0.01296696,0.053121206,1,1,1,0.141639819,0.162133684,0.100442658,-0.002966862,-0.002155072,0.005499349,0.000377,3.897589
3/1/2024,62430.6,3435.82,129.456,0.02005284,0.027719366,0.02931565,1,1,1,0.143219056,0.170442958,0.104067755,0.002840281,0.004494243,0.002944542,0.010279,3.947932
