date,close,open,signal,position,asset_return,signal_return
2021-01-02,32199.91,29337.15,1.0,1.0,0.09758102011237635,0.09758102011237635
2021-01-03,33054.53,32198.41,1.0,1.0,0.026541067971929122,0.026541067971929122
2021-01-04,32031.07,33053.93,1.0,1.0,-0.030962775752672922,-0.030962775752672922
2021-01-05,33999.52,32029.55,1.0,1.0,0.06145439412420495,0.06145439412420495
2021-01-06,36823.68,33999.51,1.0,1.0,0.08306470208991201,0.08306470208991201
2021-01-07,39498.92,36825.77,1.0,1.0,0.07264999044093368,0.07264999044093368
2021-01-08,40637.23,39498.32,1.0,1.0,0.02881876263958616,0.02881876263958616
2021-01-09,40136.04,40638.91,1.0,1.0,-0.012333271731365558,-0.012333271731365558
2021-01-10,38221.67,40136.05,1.0,1.0,-0.04769703239283207,-0.04769703239283207
2021-01-11,35408.46,38200.01,1.0,1.0,-0.07360248780338485,-0.07360248780338485
2021-01-12,34056.9,35406.92,1.0,1.0,-0.03817053890510902,-0.03817053890510902
2021-01-13,37421.07,34065.53,1.0,1.0,0.09878086378971651,0.09878086378971651
2021-01-14,39163.31,37416.34,1.0,1.0,0.04655772803931035,0.04655772803931035
2021-01-15,36755.24,39163.31,1.0,1.0,-0.061487907942408326,-0.061487907942408326
2021-01-16,36025.66,36755.25,1.0,1.0,-0.019849686738543815,-0.019849686738543815
2021-01-17,35869.83,36025.65,1.0,1.0,-0.004325527970896359,-0.004325527970896359
2021-01-18,36686.86,35875.72,1.0,1.0,0.022777637920224247,0.022777637920224247
2021-01-19,35891.03,36690.0,1.0,1.0,-0.02169250788974586,-0.02169250788974586
2021-01-20,35500.0,35891.74,1.0,1.0,-0.010894922770396942,-0.010894922770396942
2021-01-21,30879.97,35499.23,1.0,1.0,-0.1301416901408451,-0.1301416901408451
2021-01-22,32986.34,30875.77,1.0,1.0,0.06821152999824798,0.06821152999824798
2021-01-23,32086.48,32990.08,1.0,1.0,-0.027279777022852447,-0.027279777022852447
2021-01-24,32275.63,32086.48,1.0,1.0,0.005895006245621337,0.005895006245621337
2021-01-25,32253.68,32274.88,1.0,1.0,-0.0006800796762139738,-0.0006800796762139738
2021-01-26,32474.14,32253.68,1.0,1.0,0.0068351890388942405,0.0068351890388942405
2021-01-27,30381.04,32474.81,1.0,1.0,-0.06445436276372518,-0.06445436276372518
2021-01-28,33399.75,30382.96,1.0,1.0,0.0993616413394669,0.0993616413394669
2021-01-29,34269.35,33399.99,1.0,1.0,0.026036123024872904,0.026036123024872904
